vuelo;sol;fecha;perfil;origen;destino;distancia_m;altura_max_m;velocidad_max_ms;duracion_s;video_inicio_s;video_fin_s;muestras;referencias_visuales;iqr_referencias;cobertura_pct;textura;sombra_pct;cambio_visual;dispersion_sombra;puntuacion_visual;percentil_referencias;confianza_asignacion;referencia_conocida
1;58;April 19, 2021;Vertical;Wright Brothers Field;;0;3;0;39.1;0;1.52;20;94;55.5;100;0.9420207235962152;1.006764196948246;50;18.611345147209153;93.5;91.5;Baja;
2;61;April 22, 2021;Horizontal;Wright Brothers Field;;4;5;0.5;51.9;1.52;4.96;20;86;33;100;0.9151860605925322;0.4467516123957842;58.333335876464844;31.426442535131688;91.5;88.7;Baja;
3;64;April 25, 2021;Horizontal;Wright Brothers Field;;100;5;2;80.3;4.96;9.92;20;25.5;14;50;0.6746304919943213;0.6182161396885324;45;19.870020456144648;27.2;26.8;Media;
4;69;April 30, 2021;Horizontal;Wright Brothers Field;;266;5;3.5;116.9;9.92;28.64;20;37.5;27.5;58.333333333333336;0.7209338014945388;0.49394368412773326;16.176469802856445;15.685068529925239;33.7;32.4;Media;
5;76;May 7, 2021;Horizontal;Wright Brothers Field;Airfield B;129;10;2;108.2;28.64;34.56;20;36.5;45.75;50;0.6797999376431108;0.2847254994494258;45;34.29447870973475;30.1;31;Media;
6;91;May 22, 2021;Horizontal;Airfield B;Airfield C;215;10;4;139.9;34.56;49.28;20;42.5;28.5;66.66666666666667;0.7737579522654414;0.18562214881233285;16.071428298950195;34.560627156737354;42.7;40.8;Media;Anomalía de navegación: pérdida de una imagen y marcas de tiempo incorrectas.
7;107;June 8, 2021;Horizontal;Airfield C;Airfield D;106;10;4;62.8;49.28;64.72;20;61.5;36.75;75;1.0189427062869072;0.14786849142677364;28.571428298950195;30.152777316197067;62.2;64.1;Media;
8;120;June 21, 2021;Horizontal;Airfield D;Airfield E;160;10;4;77.4;64.72;80;20;62.5;20.25;70.83333333333334;0.8008982520550489;0.2375334277174768;23.333332061767578;24.37434747846837;64.4;69;Media;
9;133;July 5, 2021;Horizontal;Airfield E;Airfield F;625;10;5;166.4;80;95.44;20;12.5;8.25;25;0.6798596354201436;0.9658644014472235;19.64285659790039;23.056116412870512;12.9;12.7;Media;
10;152;July 24, 2021;Horizontal;Airfield F;Airfield G;233;12;5;165.4;95.44;111.2;20;83.5;47.25;91.66666666666667;1.261326251551509;0.7424885952493314;30.35714340209961;7.984064120498148;87.9;86.6;Media;
