flight,map_start_s,timestamp_m_ss,precision_s,criterion,video_source
1,0.2,0:00.2,0.1,first_stable_frame_of_label,https://www.youtube.com/watch?v=U7DFnNimSfw
2,0.7,0:00.7,0.1,first_stable_frame_of_label,https://www.youtube.com/watch?v=U7DFnNimSfw
3,1.9,0:01.9,0.1,first_stable_frame_of_label,https://www.youtube.com/watch?v=U7DFnNimSfw
4,3.0,0:03.0,0.1,first_stable_frame_of_label,https://www.youtube.com/watch?v=U7DFnNimSfw
5,4.2,0:04.2,0.1,first_stable_frame_of_label,https://www.youtube.com/watch?v=U7DFnNimSfw
6,5.3,0:05.3,0.1,first_stable_frame_of_label,https://www.youtube.com/watch?v=U7DFnNimSfw
7,7.7,0:07.7,0.1,first_stable_frame_of_label,https://www.youtube.com/watch?v=U7DFnNimSfw
8,8.4,0:08.4,0.1,first_stable_frame_of_label,https://www.youtube.com/watch?v=U7DFnNimSfw
9,9.0,0:09.0,0.1,first_stable_frame_of_label,https://www.youtube.com/watch?v=U7DFnNimSfw
10,9.6,0:09.6,0.1,first_stable_frame_of_label,https://www.youtube.com/watch?v=U7DFnNimSfw
11,10.3,0:10.3,0.1,first_stable_frame_of_label,https://www.youtube.com/watch?v=U7DFnNimSfw
12,10.9,0:10.9,0.1,first_stable_frame_of_label,https://www.youtube.com/watch?v=U7DFnNimSfw
13,11.5,0:11.5,0.1,first_stable_frame_of_label,https://www.youtube.com/watch?v=U7DFnNimSfw
14,12.1,0:12.1,0.1,first_stable_frame_of_label,https://www.youtube.com/watch?v=U7DFnNimSfw
15,12.8,0:12.8,0.1,first_stable_frame_of_label,https://www.youtube.com/watch?v=U7DFnNimSfw
16,13.4,0:13.4,0.1,first_stable_frame_of_label,https://www.youtube.com/watch?v=U7DFnNimSfw
17,14.0,0:14.0,0.1,first_stable_frame_of_label,https://www.youtube.com/watch?v=U7DFnNimSfw
18,14.7,0:14.7,0.1,first_stable_frame_of_label,https://www.youtube.com/watch?v=U7DFnNimSfw
19,15.3,0:15.3,0.1,first_stable_frame_of_label,https://www.youtube.com/watch?v=U7DFnNimSfw
