registro,evento,tiempo_s,referencia,nota
ensayo_jpl,minimo_armonico,15.74,medido,"cerca del comienzo del ascenso"
ensayo_jpl,minimo_armonico,17.79,medido,"durante el ascenso"
ensayo_jpl,minimo_armonico,21.38,medido,"cerca del giro hacia el punto"
ensayo_jpl,minimo_armonico,24.45,medido,"cerca del comienzo de la traslación"
ensayo_jpl,minimo_armonico,47.49,medido,"cerca del giro de 180 grados"
ensayo_jpl,minimo_armonico,49.79,medido,"durante el giro"
ensayo_jpl,minimo_armonico,52.99,medido,"cerca del retorno"
ensayo_jpl,minimo_armonico,59.26,medido,"cerca del segundo estacionario"
ensayo_jpl,minimo_armonico,62.59,medido,"segundo estacionario"
ensayo_jpl,minimo_armonico,64.51,medido,"segundo estacionario"
ensayo_jpl,minimo_armonico,67.97,medido,"cerca del giro al rumbo original"
ensayo_jpl,minimo_armonico,71.94,medido,"durante el giro/antes de aterrizar"
ensayo_jpl,minimo_armonico,74.50,medido,"cerca del comienzo del aterrizaje"
vuelo_5,minimo_84_hz,36.3,medido,"publicación: 36 s"
vuelo_5,minimo_84_hz,46.8,medido,"publicación: 47 s"
vuelo_5,minimo_84_hz,57.5,medido,"publicación: 57 s"
vuelo_5,minimo_84_hz,71.7,medido,"publicación: 72 s"
vuelo_5,minimo_84_hz,88.2,medido,"publicación: 88 s"
vuelo_5,minimo_84_hz,103.7,medido,"publicación: 104 s"
